,Title,Rating,Review,Review_Date
87,"5.0 out of 5 stars
Best in the market",5.0,"The media could not be loaded.
                



 I have used a lot of Android phones, but S23 Ultra is the best.Pros:Battery lifeCamera (Raw, Astro and Night mode)Ram managementSoftware experienceSuper fast fingerprint sensorGaming experienceDisplayConnectivitySecurity (Knox security)SpeakersFast charging supportIt is the almost perfect Android phone as of 2023Cons:No charger in the box", 28 February 2023
88,"4.0 out of 5 stars
Galaxy S23 Ultra",4.0,"Superb performance, amazing camera..hope future updates can improve battery life", 15 March 2023
89,"5.0 out of 5 stars
The best there is!",5.0,"The media could not be loaded.
                



 Already put my sim and writing review from this phone only so can only shoot this in front of the mirror.I am a previous note 10+ user (used iPhone 12 in between) so very glad to be back on Samsung and immersive giant screen with vivid colours. Excellent delivery from Amazon. 5star to the seller. 😍😍😍", 14 March 2023
90,"5.0 out of 5 stars
Best in Android!!",5.0,"Finally an Android phone which can give iPhone a run for money, excellent specs, Fantastic camera... There are so features which are not talked about.. Samsung needs to market better compared to IPhone... I am quite satisfied with the phone.", 22 March 2023
91,"5.0 out of 5 stars
Samsung s23 ultra",5.0,Camera 5/5Display 5/5Performance 5/5Battery 5/5Sound 5/5Vibration 4/5, 7 July 2023
92,"5.0 out of 5 stars
Good",5.0,Good phone, 11 June 2023
93,"5.0 out of 5 stars
Koi competition nahi",5.0,Best andoid phone ever.Better then iphoneCamera quality is awesome 100x zoom is lob, 15 May 2023
94,"5.0 out of 5 stars
Camera and performance is great.",5.0,I've noticed that the finger print sensor isn't working after installing a screen protector. I set face unlock but it's unlocking the device after multiple attempts. I hope samsung will fix these issues in security update., 4 April 2023
95,"5.0 out of 5 stars
Awesome",5.0,👍👍👍👍👍, 7 June 2023
96,"5.0 out of 5 stars
Zabardast",5.0,Zabardast, 29 May 2023
97,"5.0 out of 5 stars
Best phone ever",5.0,Phone is very smooth and camera picture quality is excellent...Battery performance  one and half day it will last and fingerprint reader works well... worth buying this phone.., 20 March 2023
98,"5.0 out of 5 stars
S 23 ultra Samsung",5.0,Cam is extraordinary I never seen!!, 29 May 2023
99,"5.0 out of 5 stars
Thank you Samsung and Amazon",5.0,"More than 2 year's I am searching for a deal who will provide all three, smartphone -smartwatch-buds with no compromise in latest technology. I think u all achive u r Target and place a milestone for other's.", 2 March 2023
100,"1.0 out of 5 stars
Screen build quality is poor",1.0,"I bought this phone 6 months back. When my phone is in pocket, My thighs touched lightly to my kitchen wall. Then my screen was broken at edge. They are advertising as screen is gorilla glass protection.  Then why it broke for a small touch. I really surprised, I had good opinion on samsung phones. But after this incident I Don't trust samsung. I can say poor quality for premium phone.", 22 November 2023
101,"5.0 out of 5 stars
In A League Of Its Own 😍",5.0,"Its a phone which is nearly peerless, don't think twice if you have the budget.", 15 April 2023
102,"5.0 out of 5 stars
Fantastic",5.0,"Awesome mobile, very good battery life and very high end performer", 22 April 2023
103,"5.0 out of 5 stars
Good phone and great camera",5.0,Good phone and great camera, 17 May 2023
104,"5.0 out of 5 stars
Best android phone of 2023",5.0,Best premium phone in android segment camera os battery everything is good. But efficiency of battery should improve a lot more when compared to previous version, 6 March 2023
105,"5.0 out of 5 stars
Awesome Phone Worth Buying!!",5.0,Awesome camera quality and fastest processor ever. 😊😊, 17 April 2023
106,"5.0 out of 5 stars
Good product",5.0,received a brand new phone and functions are good. struggling for a charger., 8 April 2023
107,"5.0 out of 5 stars
Best Mobile phone",5.0,Best mobile i have ever used, 15 April 2023
108,"5.0 out of 5 stars
Excellent phone",5.0,A sleek phone compared to the Fold series and as capable, 9 April 2023
109,"5.0 out of 5 stars
Shifted from iOS to S23 Ultra",5.0,I have no regrets shifting from iOS to S23 ultra.The camera Quality is the best in the market. And display is top notch., 6 March 2023
